Company,Inches,RAM,Memory,OpSys,Weights,Price,X_res,Y_res,Gaming,Touchscreen,ppi,Cpu Brand,Gpu brand
ASUS,14,4,128,Chrome OS,5.16,249.99,1920,1080,0,0,157.3505121,Celeron Processor,Intel 
Acer,14,8,128,Chrome OS,3.42,399.99,1366,768,0,0,111.9352036,Pentium Processor,Intel 
HP,14,4,128,Chrome OS,4.75,169.99,1920,1080,0,0,157.3505121,AMD Processor,Intel 
Dell,15.6,16,1024,Windows,6,963.9260148,1920,1080,0,0,141.2119981,Intel Core i7,NVIDIA
SAMSUNG,15.6,1,1024,Windows,2.45,1899.99,1920,1080,0,0,141.2119981,Intel Core i7,Intel 
Acer,15.6,8,256,Windows,5.06,707,1920,1080,0,0,141.2119981,Intel Core i7,NVIDIA
ASUS,14,4,64,Chrome OS,3.1,79.99,1366,768,0,0,111.9352036,Celeron Processor,Intel 
HP,11.6,4,16,Chrome OS,2.4,131.9,1366,768,0,0,135.0942112,Celeron Processor,Intel 
Acer,15.6,8,64,Chrome OS,3.53,439.99,1920,1080,0,0,141.2119981,Pentium Processor,Intel 
Lenovo,14,16,512,Windows,1,1914.6,1920,1200,0,1,161.7253908,Intel Core i7,Intel 
MSI,17,32,1024,Windows,7.93,2318.18,2560,1600,1,0,177.5808213,Intel Core i7,NVIDIA
Lenovo,16,32,1024,Windows,9.38,3237.46,2560,1600,0,0,188.6796226,Intel Core i9,NVIDIA
HP,16.1,8,512,Windows,5.44,799.99,1920,1080,1,0,136.8265323,AMD Processor,Intel 
Dell,14,16,512,Windows,4.85,1279.06,1920,1080,0,0,157.3505121,Intel Core i7,Intel 
Lenovo,15.6,8,64,Chrome OS,5.59,299.99,1920,1080,0,0,141.2119981,Celeron Processor,Intel 
Acer,16,32,1024,Windows,5.29,2999.99,2560,1600,1,0,188.6796226,Intel Core i9,Intel 
Acer,14,8,512,Windows,2.57,529.99,1920,1080,0,0,157.3505121,Intel Core i5,Intel 
MSI,15.6,64,2048,Windows,9,963.9260148,1920,1080,1,0,141.2119981,Intel Core i7,NVIDIA
HP,16,16,512,Windows,8.5,1429.99,2560,1600,0,1,188.6796226,Intel Core i7,Intel 
MSI,17.3,16,512,Windows,4.85,969.99,1920,1080,1,0,127.3356746,Intel Core i7,NVIDIA
ASUS,15.6,16,1024,Windows,4.37,1647.66,1920,1080,0,0,141.2119981,Intel Core i7,NVIDIA
HP,14,20,1024,Windows,7,963.9260148,1920,1080,0,0,157.3505121,Intel Core i3,Intel 
MSI,15.6,16,512,Windows,6.82,999.99,1920,1080,1,0,141.2119981,Intel Core i7,NVIDIA
Dell,15.6,8,512,Windows,5.9,388,1920,1080,0,0,141.2119981,AMD Processor,AMD
Lenovo,13.3,8,256,Windows,4.2,829.54,1920,1200,0,0,170.2372535,Intel Core i5,Intel 
Acer,15.6,16,512,Windows,6.7,761.08,1920,1080,0,0,141.2119981,Intel Core i5,Intel 
MSI,14,16,512,Windows,6.03,899,2560,1600,1,0,215.6338544,Intel Core i5,Intel 
Lenovo,14,4,128,Windows,3.3,963.9260148,1920,1080,0,1,157.3505121,Intel Core i3,Intel 
MSI,17.3,16,512,Windows,5.4,1473.89,3840,2160,1,0,254.6713491,Intel Core i7,NVIDIA
Lenovo,16,8,256,Chrome OS,4.11,569.99,2560,1600,1,0,188.6796226,Intel Core i7,Intel 
ASUS,14,4,128,Chrome OS,5.16,249.99,1920,1080,0,0,157.3505121,Celeron Processor,Intel 
Acer,14,8,128,Chrome OS,3.42,399.99,1366,768,0,0,111.9352036,Pentium Processor,Intel 
