Company,Inches,RAM,Memory,OpSys,Weights,Price,X_res,Y_res,ppi,Gaming,Touchscreen,Cpu Brand,Gpu brand
HP,17.3,16,1024,Windows,7.9,699.99,1920.0,1080.0,127.33567457123111,0,0,Intel Core i7,Intel 
Dell,14.0,4,64,Chrome OS,4.99,546.12,1366.0,768.0,111.93520355955211,0,0,Celeron Processor,Intel 
Dell,14.0,12,512,Windows,7,699.99,1920.0,1080.0,157.3505121487356,0,0,Intel Core i5,Intel 
Dell,14.0,8,256,Windows,5.3,499.0,1920.0,1080.0,157.3505121487356,0,0,Intel Core i5,Intel 
Dell,13.3,16,256,Windows,2.91,899.0,1920.0,1080.0,165.6321180513006,0,1,Intel Core i7,Intel 
Acer,14.0,8,256,Windows,5.79,639.99,1920.0,1080.0,157.3505121487356,0,0,AMD Processor,AMD
Acer,15.6,16,512,Windows,5.51,782.99,1920.0,1080.0,141.21199808219862,0,0,Intel Core i7,NVIDIA
Lenovo,14.0,4,32,Windows,11.3,99.0,1366.0,768.0,111.93520355955211,0,0,AMD Processor,AMD
Dell,14.0,32,512,Windows,4.9,2299.97,1920.0,1080.0,157.3505121487356,0,0,Intel Core i5,Intel 
ASUS,14.0,8,256,Windows,4.51,726.6,1920.0,1080.0,157.3505121487356,0,0,Intel Core i5,Intel 
HP,14.0,16,256,Windows,3.22,699.99,1920.0,1080.0,157.3505121487356,0,0,AMD Processor,AMD
Acer,14.0,16,512,Windows,3.3,533.49,1920.0,1080.0,157.3505121487356,0,0,Intel Core i5,Intel 
ASUS,15.6,8,512,Windows,3.97,725.99,1920.0,1080.0,141.21199808219862,0,0,Intel Core i5,Intel 
Dell,17.0,32,1000,Windows,4.87,2399.0,3840.0,1080.0,234.64616666251288,0,0,Intel Core i7,NVIDIA
Dell,15.6,12,1000,Windows,8,699.99,2560.0,1080.0,178.1082562749975,1,0,Intel Core i7,NVIDIA
ASUS,15.6,8,512,Windows,7.77,699.99,1920.0,1080.0,141.21199808219862,1,0,Intel Core i5,NVIDIA
Lenovo,15.6,16,512,Windows,3.86,1370.77,1920.0,1080.0,141.21199808219862,0,0,Intel Core i7,NVIDIA
ASUS,14.0,8,512,Windows,2.47,934.58,1920.0,1080.0,157.3505121487356,0,0,AMD Processor,AMD
Lenovo,16.0,32,1024,Windows,9.33,3152.37,2560.0,1600.0,188.67962264113208,0,0,Intel Core i7,NVIDIA
HP,15.6,64,2048,Windows,3.84,699.99,1920.0,1080.0,141.21199808219862,0,0,Intel Core i7,Intel 
Dell,15.6,64,1024,Windows,4.22,3599.0,1920.0,1200.0,145.1381712624093,0,0,Intel Core i9,NVIDIA
Lenovo,14.0,8,256,Windows,3,499.0,1920.0,1080.0,157.3505121487356,0,0,AMD Processor,AMD
ASUS,12.0,4,128,Windows,4,119.99,1366.0,768.0,130.59107081947747,0,0,Celeron Processor,Intel 
