Company,Name,Inches,Screen_Resolution,CPU,RAM,Memory,GPU,OpSys,Weights,Price
Acer,"Acer Aspire Vero AV15-51-7617 Green PC | 15.6"" FHD IPS 100% sRGB-Display | 11th Gen Intel Core i7-1195G7 | Intel Iris Xe Graphics | 16GB DDR4 | 512GB NVMe SSD | Wi-Fi 6 | PCR Materials | Vero-Sleeve",15.6 Inches,‎1920 x 1080,Intel Core i7,16 GB,‎512 SSD,,‎Windows 11 Home,‎3.96 pounds,$509.99
ASUS,"ASUS Vivobook Go 15 L510 Thin & Light Laptop Computer, 15.6” FHD Display, Intel Celeron N4020 Processor, 4GB RAM, 64GB Storage, Windows 11 Home in S Mode, 1 Year Microsoft 365, Star Black, L510MA-AS02",15.6 Inches,‎1920 x 1080 Pixels,Celeron,4 GB,64 GB,,‎Windows 11 S,‎3.46 pounds,$189.99
Acer,"Acer Aspire 5 A515-56-347N Slim Laptop - 15.6"" Full HD IPS Display - 11th Gen Intel i3-1115G4 Dual Core Processor - 8GB DDR4 - 128GB NVMe SSD - WiFi 6 - Amazon Alexa - Windows 11 Home in S Mode",15.6 Inches,‎1920x1080,Core I3 1115G4,8 GB,128 GB,‎Intel UHD Graphics,‎Windows 11 S,‎3.64 pounds,$299.99
Dell,"Dell Newest Inspiron 15 3511 Laptop, 15.6"" FHD Touchscreen, Intel Core i5-1035G1, 32GB RAM, 1TB PCIe NVMe M.2 SSD, SD Card Reader, Webcam, HDMI, WiFi, Windows 11 Home, Black",15.6 Inches,‎1920 x 1080 Pixels,Core i5 Family,32 GB,1 TB,‎Intel UHD Graphics,‎Windows 11,‎3.74 pounds,$625.00
HP,"Newest HP 14"" HD Laptop, Windows 11, Intel Celeron Dual-Core Processor Up to 2.60GHz, 4GB RAM, 64GB SSD, Webcam, Dale Pink(Renewed) (Dale Pink)",15.6 Inches,‎1366 x 768 Pixels,Celeron,4 GB,64 GB,‎Graphics_coprocessor,‎Windows 11,‎4.55 pounds,$216.99
SAMSUNG,"SAMSUNG 2022 14” FHD(1920 x 1080) Laptop, Windows 11 OS, Qualcomm Octa Core Snapdragon Processor 2.55GHz, 4GB LPDDR4x, 64GB SSD (Renewed)",14 Inches,‎1920x1080 Pixels,Snapdragon,4 GB,64 GB,‎Qualcomm,‎Windows 11,‎3.4 pounds,$165.00
HP,"HP 2021 Stream 14"" HD SVA Laptop Computer, Intel Celeron N4000 Processor, 4GB RAM, 64GB eMMC Flash Memory, Webcam, 1-Year Office, Intel UHD Graphics 600, Win 10S, Rose Pink, 32GB SnowBell USB Card",14 Inches,‎1366 x 768 Pixels,Celeron N,4 GB,64 GB,‎Intel UHD Graphics 600,‎Windows 10 S,‎3.17 pounds,From $289.00
Acer,"Acer Aspire Vero AV15-51-7617 Green PC | 15.6"" FHD IPS 100% sRGB-Display | 11th Gen Intel Core i7-1195G7 | Intel Iris Xe Graphics | 16GB DDR4 | 512GB NVMe SSD | Wi-Fi 6 | PCR Materials | Vero-Sleeve",15.6 Inches,‎1920 x 1080,Intel Core i7,16 GB,‎512 SSD,,‎Windows 11 Home,‎3.96 pounds,$509.99
Acer,"Acer Aspire 5 A515-56-347N Slim Laptop - 15.6"" Full HD IPS Display - 11th Gen Intel i3-1115G4 Dual Core Processor - 8GB DDR4 - 128GB NVMe SSD - WiFi 6 - Amazon Alexa - Windows 11 Home in S Mode",15.6 Inches,‎1920x1080,Core I3 1115G4,8 GB,128 GB,‎Intel UHD Graphics,‎Windows 11 S,‎3.64 pounds,$299.99
Lenovo,"Lenovo 2022 Newest Ideapad 3 Laptop, 15.6"" HD Touchscreen, 11th Gen Intel Core i3-1115G4 Processor, 8GB DDR4 RAM, 256GB PCIe NVMe SSD, HDMI, Webcam, Wi-Fi 5, Bluetooth, Windows 11 Home, Platinum Grey",15.6 Inches,‎1366 x 768 Pixels,Intel Core i3,8 GB,256 GB,‎Intel UHD Graphics,‎Windows 11 Home,‎3.74 pounds,$379.99
ASUS,"ASUS Chromebook Vibe C55 Flip, Cloud Gaming Laptop, 15.6"" Full HD 144 Hz Touch Display, Intel® Core™ i5-1135G7 Processor, 512GB SSD, 16GB RAM, ChromeOS, Mineral Gray, CX5501FEA-AS562T",15.6 Inches,‎1920x1080 Pixels,Intel Core i5,16 GB,512 GB,‎Intel Iris Xe Graphics,‎Chrome OS,‎6.22 pounds,$699.99
Acer,"Acer Aspire 1 A115-32-C96U Slim Laptop | 15.6"" Full HD Display | Intel Celeron N4500 Processor | 4GB DDR4 | 128GB eMMC | WiFi 5 | Microsoft 365 Personal 1-Year Subscription | Windows 11 Home in S mode",15.6 Inches,‎1920x1080 Pixels,Celeron N,4 GB,‎Emmc,‎Intel UHD Graphics,‎Windows 11 S,‎3.64 pounds,$229.99
