Company,Name,Inches,Screen_Resolution,CPU,RAM,Memory,GPU,OpSys,Weights,Price
HP,"HP High Performance Laptop 2023, 17.3"" FHD IPS, 10-Core 12th Intel i7-1255U, Iris Xe Graphics, 16GB DDR4, 1TB SSD, WiFi 6 Bluetooth HDMI USB-C Fullsize Keyboard Numpad, Windows 11 Pro, COU 32GB USB",17.3 Inches,‎1920 x 1080 Pixels,Core i7 Family,16 GB,1 TB,‎Intel Iris Xe Graphics,‎Windows 11 Pro,‎7.9 pounds,
Dell,Dell Latitude 5400 Chrome CEL_2-4305U 4GB 64GB SS NT 1366x768 Chrome OS WLS 3C 14.0in,14 Inches,‎1366 x 768 Pixels,Celeron,4 GB,64 GB,‎Intel HD Graphics 4400,‎Chrome OS,‎4.99 pounds,$546.12 
Dell,Dell 2023 Inspiron I5402 14 inch FHD Non-Touch Laptop 11th Gen Intel 4-Core i5-1135G7 Iris Xe Graphics 12GB DDR4 512GB NVMe SSD WiFi AX BT 5.1 USB-C Backlit Keyboard Windows 10 Pro,14 Inches,‎1920 x 1080 Pixels,Core i5 Family,12 GB,512 GB,‎Intel Iris Xe Graphics,‎Windows 10 Pro,‎7 pounds,
Dell,"Dell Latitude 5410 14"" Notebook - Full HD - 1920 x 1080 - Core i5 i5-10310U 10th Gen 1.7GHz Hexa-core (6 Core) - 8GB RAM - 256GB SSD",14 Inches,‎1920 x 1080 Pixels,Intel Core i5,8 GB,256 GB,‎Intel UHD Graphics 620,‎Windows 10 Pro,‎5.3 pounds,From $499.00
Dell,"Dell Latitude 5310 13.3"" Touchscreen 2 in 1 Notebook - Full HD - 1920 x 1080 - Core i7 i7-10610U 10th Gen 1.8GHz Hexa-core (6 Core) - 16GB RAM - 256GB SSD",13.3 Inches,‎1920 x 1080 Pixels,Intel Core i7,16 GB,256 GB,‎Intel HD Graphics 620,‎Windows 10 Pro,‎2.91 pounds,From $899.00
Acer,"Acer TravelMate P2 P214-41-G2 TMP214-41-G2-R5EB 14"" Notebook - Full HD - 1920 x 1080 - AMD Ryzen 5 PRO 5650U Hexa-core (6 Core) 2.30 GHz - 8 GB Total RAM - 256 GB SSD",14 Inches,‎1920 x 1080 Pixels,Ryzen 5,8 GB,256 GB,‎AMD Radeon Graphics,‎Windows 10 Pro,‎5.79 pounds,$639.99 
Acer,"Acer Nitro 5-15.6"" Laptop Intel Core i5-12500H 2.50GHz 16GB RAM 512GB SSD W11H (Renewed)",15.6 Inches,,‎2.5 GHz,16 GB,512 GB,‎NVIDIA GeForce RTX 3050 Ti,‎Windows 11 Home,‎5.51 pounds,From $782.99
Lenovo,"Lenovo IdeaPad 14-inch HD WLED AMD A6-9229e 4GB 64GB eMMC Win 10 Laptop Platinum, Grey, 14-14.99 inches",14 Inches,‎1366 x 768,AMD A Series,4 GB,32 GB,‎AMD Radeon R4,‎Windows 10,‎11.3 ounces,From $99.00
Dell,"Dell Latitude Rugged 5420 Laptop (2019) | 14"" FHD | Core i5-512GB SSD - 32GB RAM | 4 Cores @ 3.6 GHz Win 10 Pro",14 Inches,‎1920x1080 MP,Core i5,32 GB,512 GB,‎Intel Integrated Graphics,‎Windows 10 Pro,‎4.9 pounds,"$2,299.97 "
ASUS,"ASUS Laptop P5440FA-C53P-CA Intel Core i5 8th Gen 8265U (1.60 GHz) 8 GB Memory 256 GB SSD Intel UHD Graphics 14.0"" Windows 10 Pro 64-bit (Renewed)",14 Inches,‎1920 x 1080 Pixels,Core i5,8 GB,256 GB,‎Intel UHD Graphics,‎Windows 10 Pro,‎4.51 pounds,From $726.60
HP,"HP 2022 14"" FHD IPS Anti-Glare Screen 2-Core AMD Ryzen 3 3250U 16GB RAM DDR4 256GB M.2 NVMe SSD AMD Radeon Graphics HDMI USB-C WiFi AC BT Webcam Long Battery Life Windows 11 Home w/RE Accessories",14 Inches,‎1920 X 1080 Pixels,Ryzen 3 3250U,16 GB,256 GB,‎AMD Radeon Graphics,‎Windows 11 Home,‎3.22 pounds,
Acer,"Acer Vero 14"" FHD Laptop Intel Core i5-1235U 10-Core 16GB LPDDR4X RAM 512GB PCI-e Solid State Drive 14"" Widescreen IPS LED-Backlit FHD (1920 x 1080) Display",14,‎1920 x 1080 Pixels,Core i5,16 GB,512 GB,,‎Windows 11 Home,‎3.3 pounds,$533.49 
ASUS,"ASUS VivoBook S15 S533 Thin and Light Laptop, 15.6” FHD Display, Intel Core i5-1135G7 Processor, 8GB DDR4 RAM, 512GB PCIe SSD, Wi-Fi 6, Windows 10 Home, Indie Black, S533EA-DH51",15.6 Inches,,Intel Core i5-1135G7,8 GB,512 GB,‎Intel Iris Xe Graphics,‎Windows 10,‎3.97 pounds,$725.99 
Dell,"Dell XPS 17 9710 Laptop (2021) | 17'' 4K Touch | Core i7 - 1TB SSD - 32GB RAM - RTX 3050 | 8 Cores @ 4.6 GHz - 11th Gen CPU, Platinum Silver, Win 11 Pro",17 Inches,‎3840x2400 MP,Core i7,32 GB,1000 GB,‎NVIDIA GeForce RTX 3050,‎Windows 11 Pro,‎4.87 pounds,"$2,399.00 "
Dell,"Dell Alienware m15 R7 Gaming Laptop (2022) | 15.6"" QHD | Core i7-1TB SSD - 64GB RAM - 3080 Ti | 14 Cores @ 4.7 GHz - 12th Gen CPU - 12GB GDDR6X Win 11 Pro",15.6 Inches,‎2560x1440 MP,Core i7,12 GB,1000 GB,‎NVIDIA GeForce RTX 3080 Ti,‎Windows 11 Pro,‎8 pounds,
ASUS,"ASUS TUF Gaming F15 Gaming Laptop, 15.6” 144Hz FHD Display, Intel Core i5-11400H Processor, GeForce RTX 2050, 8GB DDR4 RAM, 512GB PCIe SSD Gen 3, Wi-Fi 6, Windows 11, FX506HF-ES51",15.6 Inches,‎1920x1080 Pixels,Core i5,8 GB,512 GB,‎NVIDIA GeForce RTX 2050,‎Windows 11 Home,‎7.77 pounds,$699.99 
Lenovo,"Lenovo ThinkPad P15s Gen 2 15.6"" FHD (1920 x 1080) IPS, Anti-Glare, 300 nits, Intel Core i7-1165G7, 16GB RAM, 512GB SSD, NVIDIA® Quadro® T500 4GB, Backlit KYB, Fingerprint Reader, Win10Pro",15.6 Inches,‎1920 x 1080 Pixels,Core i7 Family,16 GB,512 GB,‎NVIDIA® Quadro® T500 4GB,‎Windows 10 Pro,‎3.86 pounds,"$1,370.77 "
ASUS,"ASUS ZenBook 14 UM433DA-DH75 90NB0PD6-M00680 Silver Laptop/Ryzen 7 3700U/8GB/512GB PCIe SSD/14.0"" Flat Full HD (1920x1080)/AMD Radeon RX Vega 10/Windows 10 Home",14 Inches,‎1920 x 1080 Pixels,AMD Ryzen 7,8 GB,512 GB,‎AMD Radeon RX Vega 10,‎Windows,‎2.47 pounds,$934.58 
Lenovo,"Lenovo ThinkPad P16 G1 21D6006PUS 16"" Mobile Workstation - QHD - 2560 x 1600 - Intel Core i7 12th Gen i7-12850HX Hexadeca-core (16 Core) 2.10 GHz - 32 GB Total RAM - 1 TB SSD - Storm Gray",16 Inches,‎2560 x 1600 Pixels,Core i7,32 GB,1 TB,‎NVIDIA RTX A2000,‎Windows 11 Pro,‎9.33 pounds,"$3,152.37 "
HP,"HP ProBook 450 G9 15.6"" FHD Business Laptop, 12th Gen Intel 10-Core i7-1255U up to 4.7GHz, 64GB DDR4 RAM, 2TB PCIe SSD, WiFi 6, Bluetooth 5.2, Windows 10 Pro, BROAG Extension Cable",15.6 Inches,‎1920x1080,Core i7,64 GB,2 TB,‎Intel Iris Xe Graphics,‎Windows 10 Pro,‎3.84 pounds,
