Company,Name,Inches,Screen_Resolution,CPU,RAM,Memory,GPU,OpSys,Weights,Price
MSI,"MSI Creator M16 Laptop Intel Core i7 11th Gen 11800H (2.30GHz) 16GB Memory 512 GB NVMe SSD NVIDIA GeForce RTX 3050 Laptop GPU 16.0"" Windows 10 Home 64-bit Creator M16 A11UC-672","16.0""",2560 x 1600,Intel Core i7 11th Gen,16GB,512 GB NVMe,NVIDIA GeForce RTX 3050 Laptop GPU,Windows 10 Home 64-bit🙋‍♀️Microsoft Windows 11 Pro Upgrade ‍👉Check ABS/Helix computers with Windows 11,4.97 lbs.,"$1,299.00 "
Lenovo,"Lenovo IdeaPad 15.6"" Notebook - Full HD - 1920 x 1080 - AMD Ryzen 7 5825U Octa-core (8 Core) 2 GHz - 8 GB RAM 512 GB SSD Win11H - Abyss Blue 82SG0004US","15.6""",1920 x 1080,AMD Ryzen 7 5000 Series,8GB,512 GB,Integrated Graphics,Windows 11 Home,4.81 Pounds,$594.99 
Wavlink,"Wavlink USB-C Docking Station USB C laptop Dock with Aluminum Laptop Stand, 2 HDMI, PD3.0 (Max 85W) SD/TF Gigabit Ethernet 2 USB 3.0 Ports, Adjustable Ergonomic Computer Riser For MacBook & Windows",,,,,,,,,$122.99 –
ASUS,"ASUS VivoBook S 15 Slim Laptop, 15.6"" FHD Display, AMD Ryzen 7 5800H CPU, AMD Radeon Graphics, 16GB RAM, 1TB SSD, Windows 11 Home, Fingerprint Reader, Indie Black, S3502QA-NS77","15.6""",1920 x 1080,AMD Ryzen 7 5000 Series,16GB,1 TB PCIe,AMD Radeon Graphics,Windows 11 Home 64-bit,3.75 lbs.,$799.99 
MSI,"MSI Modern 14 14"" Ultra Thin and Light Laptop AMD Ryzen 5-7530U UMA 16GB 512GB NVMe SSD Win 11 home, C7M-049US","14.0""",1920 x 1080,AMD Ryzen 5 7000 Series,16GB,512 GB NVMe,AMD Radeon Graphics,Windows 11 Home 64-bit,3.75 lbs.,$499.00 
Hasee,"Hasee Z8 (15.6'', i7-11800H, RTX3060), Gaming Laptop, i7-11800H 4.6GHz, 16G DDR4 RAM, 512G NVMe PCIe4.0 SSD, RTX3060 6G GDDR6, 15.6'' 144Hz 1920x1080 FHD IPS Display, RGB KB, WF, BT, Win11, Ore Black","15.6""",1920 x 1080,Intel Core i7 11th Gen,16GB,512 GB PCIe,NVIDIA GeForce RTX 3060 Laptop GPU,Windows 11 Home,4.8 Pounds,"$1,699.99 –"
MSI,"MSI Modern 14 Laptop Intel Core i5 12th Gen 1235U (1.30GHz) 8GB Memory 512 GB NVMe SSD Intel Iris Xe Graphics 14.0"" Windows 11 Home 64-bit Modern 14 C12M-032","14.0""",1920 x 1080,Intel Core i5 12th Gen,8GB,512 GB NVMe,Intel Iris Xe Graphics,Windows 11 Home 64-bit,2.62 lbs.,$449.00 
ASUS,"ASUS Laptop ZenBook Pro Intel Core i7 12th Gen 12700H (2.30GHz) 16GB Memory 1 TB PCIe SSD NVIDIA GeForce RTX 3060 Laptop GPU 16.0"" Touchscreen Windows 11 Home 64-bit UX7602ZM-DB74T","16.0""",3840 x 2400,Intel Core i7 12th Gen,16GB,1 TB PCIe,NVIDIA GeForce RTX 3060 Laptop GPU,Windows 11 Home 64-bit,5.29 lbs.,"$1,899.99 "
Colorful,"Colorful Gaming Laptop, 15.6"" 144Hz, Intel 12th Gen Core i5 12500H, NVIDIA GeForce RTX 3050 Laptop, 16GB DDR4 Dual Channels Expand to 64GB Memory, 512GB SSD, Thunderbolt 4 Interface, Windows 11 Home","15.6""",1920 x 1080,Intel Core i5 12th Gen,16GB,512 GB,NVIDIA GeForce RTX 3050 Laptop GPU,Windows 11 Home,,$945.00 
Lenovo,"Lenovo IdeaPad Flex 5 14ALC7 14"" Touchscreen Convertible 2 in 1 Notebook - WUXGA - 1920 x 1200 - AMD Ryzen 5 5500U Hexa-core (6 Core) 2.10 GHz - 8 GB Total RAM - 256 SSD - 82R9000RUS","14.0""",1920 x 1200,AMD Ryzen 5 5000 Series,8GB,256 GB,AMD Radeon Graphics,Windows 11 Home 64-bit,3.42 lbs.,$499.99 
ASUS,"ASUS ZenBook Pro Duo 15.6"" OLED 4K Touchscreen Intel Core i9 12th Gen 12900H (2.50GHz) 32GB Memory 1 TB PCIe SSD NVIDIA GeForce RTX 3070 Ti   Windows 11 Pro 64-bit UX582ZW-XB99T","15.6"" 4K / UHD",3840 x 2160,Intel Core i9 12th Gen,32GB,1 TB PCIe,NVIDIA GeForce RTX 3070 Ti Laptop GPU,Windows 11 Pro 64-bit,5.16 lbs.,"$2,799.99 "
