Company,Name,Inches,Screen_Resolution,CPU,RAM,Memory,GPU,OpSys,Weights,Price
ASUS,"ASUS Chromebook C424, 14.0"" 180 Degree FHD NanoEdge Display, Intel Dual Core Celeron Processor, 4GB LPDDR4 RAM, 128GB Storage, Silver Color, C424MA-AS48F",14 Inches,‎1920x1080 Pixels,Celeron N4020,4 GB,128 GB,‎Intel UHD Graphics 600,‎Chrome OS,‎5.16 pounds,$249.99 
Acer,"Acer Chromebook Spin 314 Convertible Laptop | Intel Pentium Silver N6000 | 14"" HD Corning Gorilla Glass Touch Display | 8GB LPDDR4X | 128GB eMMC | Intel Wi-Fi 6 AX201 | Chrome OS | CP314-1H-P1Q5",14 Inches,‎1366x768 Pixels,Pentium,8 GB,128 GB,‎Intel UHD Graphics,‎Chrome OS,‎3.42 pounds,$399.99 
HP,"HP 2022 14"" IPS FHD Chromebook, Ryzen 3 Processor Up to 3.45GHz, 4GB Ram, 128GB SSD, Intel 4K Graphics, Ultra-Fast WiFi Speed, Chrome OS, Dale Gray (Renewed) (Dale Gray)",14 Inches,‎1920 x 1080 Pixels,Ryzen 3,4 GB,128 GB,,‎Chrome OS,‎4.75 pounds,$169.99 
Dell,"Dell Vostro 7510 Business Laptop, 15.6"" FHD Display, Intel Core i7-11800H, GeForce RTX 3050, 16GB RAM, 1TB SSD, Webcam, HDMI, SD Card Reader, Backlit KB, FP Reader, Wi-Fi 6, Windows 11 Pro",15.6 Inches,‎1920 x 1080 Pixels,Core i7 Family,16 GB,1 TB,‎NVIDIA GeForce RTX 3050,‎Windows 11 Pro,‎6 pounds,
SAMSUNG,"SAMSUNG 15.6” Galaxy Book2 Pro with Intel ARC Laptop Computer, i7 / 32GB / 1TB, 12th Gen Intel Core Processor, Evo Certified, Lightweight, 2022 Model, Graphite",15.6 Inches,‎1920 x 1080 Pixels,Core i7,1 TB,1 TB,‎Intel ARC A350M,‎Windows,‎2.45 pounds,"$1,899.99 "
Acer,"Acer - Nitro 5 15.6"" Laptop - Intel Core i5 --10300H 8GB Memory - NVIDIA GeForce GTX 1650 - 256GB SSD - Obsidian Black",15.6 Inches,‎1920 x 1080 Pixels,Corei5-10300H,8 GB,256 GB,‎NVIDIA GeForce GTX 1650,‎Windows 10,‎5.06 pounds,$707.00 
ASUS,"ASUS Chromebook C423NA, 14"" HD Nano-Edge Display, Intel Processor N3350, 4GB DDR4, 64GB eMMC, Chrome OS",14 Inches,‎1366 x 768,Celeron,4 GB,64 GB,,‎Chrome OS,‎3.1 pounds,From $79.99
HP,"HP Chromebook 11, 11.6"", Celeron, 4GB, 16GB, Chrome OS",11.6 Inches,‎1366 x 768 Pixels,Celeron,4 GB,16 GB,‎Intel HD Graphics,‎Chrome OS,‎2.4 pounds,$131.90 
Acer,"Acer Chromebook 315 Laptop | Intel Pentium Silver N6000 | 15.6"" Full HD IPS Touch | Intel UHD Graphics | 8GB LPDDR4X | 64GB eMMC | Wi-Fi 6 | DTS Audio | Chrome OS | CB315-4HT-P8PQ",15.6 Inches,‎1920 x 1080,Pentium,8 GB,64 GB,‎Intel UHD Graphics,‎Chrome OS,‎3.53 pounds,$439.99 
Lenovo,"Lenovo ThinkPad X1 Carbon Gen 10 21CB000CUS 14"" Touchscreen Notebook - WUXGA - 1920 x 1200 - Intel Core i7 i7-1260P Dodeca-core (12 Core) - 16 GB Total RAM - 512 GB SSD - Black Paint",14 Inches,‎1920 x 1200 Pixels,Core i7,16 GB,512 GB,‎Intel Iris Xe Graphics,‎Windows 11,‎1 pounds,"$1,914.60 "
